NAME,latitude,longitude,TYPE,PRON. PERIOD,LOCATION,ORDER,TRANSLATION,PRON. CODE,RANK,PRONUNCIATION,ANCIENT LOC.,補足,郡レベル以上,豪族関連名である(国造、県主など),発音近い,古代地名と確認できる,個別の事情クリア,空き地(非重複),他国に近い(非飛び地),必須スコア,単独スコア,相関スコア,総合スコア
帶方郡(北),38.46774,125.86165,その他M,未使用,黄海南道安岳郡,1,帯方郡,0,1,たいほう,帶方郡,,1,0,1,1,1,1,1,1,4,2,6
帶方郡(南),37.56642,126.97795,その他M,未使用,京畿道ソウル,1,帯方郡,0,1,たいほう,帶方郡,,1,0,1,1,1,1,1,1,4,2,6
狗邪韓國,35.22858,128.88973,その他H,後漢,韓国慶尚南道金海市,2,伽耶,1,1,かや,伽耶・加羅・金官国,,1,0,1,1,1,1,1,1,4,2,6
對馬國,34.20319,129.28782,女王国H,後漢,長崎県対馬市,3,対馬,1,1,つしま,対馬県主・対馬国,,1,1,1,1,1,1,1,1,5,2,7
一支國,33.74915,129.69193,女王国H,後漢,長崎県壱岐市,4,壱岐,1,1,いき1,壱岐県主・壱岐国造・壱岐国,,1,1,1,1,1,1,1,1,5,2,7
末盧國,33.45022,129.96744,女王国H,後漢,長崎県唐津市,5,松浦,1,1,まつら,松浦県主・肥前国松浦郡,,1,1,1,1,1,1,1,1,5,2,7
伊都國,33.53685,130.24142,女王国H,魏晋,福岡県糸島市,6,怡土,3,1,いと1,伊都県主・筑前国怡土郡,,1,1,1,1,1,1,1,1,5,2,7
奴國,33.53945,130.44901,女王国H,後漢,福岡県春日市,7,儺,1,1,な,儺県主・筑前国那珂郡,,1,1,1,1,1,1,1,1,5,2,7
不彌國,33.62845,130.68926,女王国M,後漢,福岡県飯塚市,8,穂波,1,1,ほなみ1,筑前国穂波郡,,1,0,1,1,1,1,1,1,4,2,6
投馬國,35.17791,136.73069,女王国L,魏晋,愛知県津島市,9,津嶋,3,1,つしま,尾張国海部郡△津嶋,,0,0,1,1,1,1,1,1,3,2,5
邪馬臺國(九),33.30322,130.55437,女王国H,同等,福岡県久留米市,10,山本,2,1,やまも2と2,筑後国山本郡,,1,0,1,1,1,1,1,1,4,2,6
邪馬臺國(畿),34.54431,135.84008,女王国H,同等,奈良県桜井市,10,大和,2,1,やまと2,大和国,,1,1,1,1,1,1,1,1,5,2,7
斯馬國,34.32822,136.82951,女王国M,同等,三重県志摩市,11,志摩,2,1,しま,島津国造・志摩国,,1,1,1,1,1,1,1,1,5,2,7
已百支國,34.81617,135.56857,女王国L,魏晋,大阪府茨木市,12,荊切,3,1,うばらき1,摂津国島下郡の荊切の里(茨木神社),,0,0,1,1,1,1,1,1,3,2,5
