参考文献,[石原1951],提案手法,[鬼塚2021],[すきえんてぃあ2021],[大⽵2013],[Bentley2008],[安本2003九],[安本2003畿],[長田2010c2],[田中1985],[牧1968],[山田1967b],[米倉1953],[井上1951],[山田1910],[内藤1910],[新井1716b]
コメント,業界の一般論を編集者がまとめたもの。,本文など参照,手法は不明だが上古音・中古音併用で上代特殊仮名遣いを考慮しているようだ。地名の出現順は地域ブロックごとであると仮定しているようだ。,後漢発音->古代方言ベース?,"日本語ハ行は語頭でp、語中でɸとしている。中古音は平山(1967)としており特にo->ʌ, o2->ʌとなっているなど現代の辞書とだいぶ違う。一部上古音を考慮。",地名というより語源を探求する目的。後漢発音ベース。日琉祖語+方言+Pアイヌ,九州説＋上古音中古音の混合と解釈。,,上古音3世紀洛陽方言+上代日本語、2重母音は主母音をとる。サ行sより九州方言とし九州説をとる。(初出1975),九州山門郡説。遠絶二十一国は郷レベルとする。(初出1975),九州山門郡説。弥生遺跡、国造・県主、伊都国放射距離説,上古音3世紀洛陽方言(長田2010)+上代日本語(甲乙を全列に拡張),手法はおおむね内藤1910。瀬戸内海の地名を優先。,九州説、県から選ぶ。,,大和説,大和説のち九州説
帶方郡,帯方県 (黄海・京畿道、ソウル付近),帶方郡,,,,,,,,,,,,,,,
狗邪韓國,加羅 (金海),伽耶・加羅・金官国,伽耶、加羅（韓国）,,,,加耶国,加耶国,e,e,e,加耶,e,e,e,e,
對馬國,対馬,対馬県主・対馬国,ト甲(ス)マ 対馬 （長崎県対馬市）,tusima 対馬,*tusima（対馬）,"*təsVma or *tusVma (対馬, OJ tə or tu+sema (island of tə or tu))",対馬,対馬,トマ 対馬,e,e,対馬,e,e,e,e,対馬国
一支國,壱岐,壱岐県主・壱岐国造・壱岐国,イ甲(チ)キ甲 壱岐 （長崎県壱岐市）,iki 壱岐,*iki（壱岐）,*ike (壱岐 iki),壱岐,壱岐,ユツキ 壱岐,e,e,壱岐,e,e,e,e,壱岐国
末盧國,"肥前国松浦郡 (名護屋, 唐津)",松浦県主・肥前国松浦郡,マツラ 松浦（佐賀県松浦市）,matura 松浦,*matura（松浦）,"*mat-rɔ (松浦 matura, or PA mat+oro (female+inside))",肥前国松浦郡,肥前国松浦郡,マツラ 肥前国松浦郡,e,e,末羅,e,松浦県,e,e,末羅県・肥前国松浦郡
伊都國,怡土郡 (糸島郡深江付近),伊都県主・筑前国怡土郡,イト甲 怡土県（福岡県糸島市）,ito < *ita-u- 糸島,*ito（怡土）,"*itɔ, itwo (OJ thread)",筑前国怡土郡,筑前国怡土郡,ウタ 福岡県福岡市博多区板付-福岡県前原市板持、筑前国那珂郡板曳,e,e,伊覩,e,伊覩県,e,e,伊覩県・逸都県・筑前国怡土郡
奴國,儺縣・那津 (那珂郡博多付近),儺県主・筑前国那珂郡,ナ 儺県（福岡市）,na 儺縣,*na（儺）,"*na (fish, or land, earth, OJ nawi (earthquake))",儺の縣・筑前国那珂郡,儺の縣・筑前国那珂郡,ナ 儺県・筑前国那珂郡博多,e,e,儺,儺県,儺県,e,e,筑前国那珂郡
不彌國,筑前国糟屋郡宇美,筑前国穂波郡,ホ乙ミ甲 穂波（飯塚市）,umi 宇美,*(p)umi（宇美）,"*pume (PR *pume, (spot, design))",筑前国糟屋郡宇美町、筑前国穂波郡,筑前国糟屋郡宇美町、筑前国穂波郡、播磨国雲弥の里,ホム 筑前国糟屋郡宇美,志賀島,筑前国糟屋郡宇美,穂波,,宇弥,,宇美(宇彌),筑前国宇美
投馬國,,尾張国海部郡△津嶋,ヅマ 出雲国 （島根県出雲市）,"*iNdukumo 出雲, *to-ma 津, ta-ma 田間, təmə 鞆浦",*ndumo（出雲）?,"*toma (OJ tuma (spouse), PA *tɔma (sweet potato), Tsuma in Miyazaki)",筑後国三潴郡、遠賀川流域から豊前国（「あづま」の意味）,出雲の国、備後国鞆、須磨の浦、岡山県たまのうら多麻能宇良,(於投馬國)ヤドマ・ヤヅマ 八爪、トマ苫、ツマ日向国児湯郡都万神社、紀伊国名草郡都麻都比売神社,五島列島,日向国児湯郡都萬神社,出雲,出雲,上妻県・筑後国八女郡上妻村,出雲、但馬,周防国佐婆郡玉祖郷,備後国鞆の浦、播磨国須磨の浦
