字,Pinyin,MC等,MC声調,OCBS,OCZ,LH,WJ,ONW,MC,その他のコメント
,小學堂字號,definition,,OCBS 韻,OCZ 韻,LH 韻,WJ 韻,ONW 韻,MC 韻,使用箇所
,LH修正,日琉祖語,上代日本語,コメント,,,,,,その他のコメント
,WJ修正,日琉祖語,上代日本語,コメント,,,,,,その他のコメント
狗,gǒu,1,上声,Cə.kˤroʔ,koːʔ,ko,#,#,kəu,kooʔ/klooʔ (先秦Z2013)
,,,,#,侯,魚,#,,厚,"1,31"
LH,k(ɑʔ),ka`,ka`,R:後漢 魚部-ɑより推定，c.f. 1狗邪韓国は伽耶が有力比定地。,,,,,,
WJ,(kouʔ),"ko`, ko`Cu, ku`","ko1`, ku`Cu, ku`",M:1等より-j-なし。R:「厚」と先秦・隋唐で韻一致より魏晋-ou (幽部) 。「狗」南北朝宋北魏前期#ouより。,,,,,,
邪,yé,3,平声,[ɢ](r)A,laː,ja,#jia,ia,jia,laa (先秦Z2013)
,6757,Alt. form of 耶,,,魚,歌,歌,,麻 ,"1,9,12,25"
LH,ja,ja,ja,,,,,,,
WJ,()jia,ja,ja,I:呉音ヤ、後漢、ONWより。,,,,,,
邪,"xié, xiá",3,平声,sə.ɢA,ljaː,zia,#jia,#,zia,ljaa (先秦Z2013)
,6943,Evil.,,,魚,歌,歌,,麻 ,(see above)
LH,(zia),"sia`, si`Ca, sa`","se1`, si1`Ca, sa`","I:[Schuessler2007] ""8.1.2 MC zj- from PCH * s- before initial * 1 , * j , * w ""参照。[Coblin1977] OC rj>LH z>WJ z>MC z系列参照。M:3等より-i-を推定。R:「歌」より韻aと推定。",,,,,,
WJ,(z)jia,"sia`, si`Ca, sa`","se1`, si1`Ca, sa`",I: 隋唐，6943後漢より子音を仮定。,,,,,,
對,duì,1,去声,[t]ˤ[u]p-s,tuːbs,tuəs,#əi,tuai,tuʌi,tuubs (先秦Z2013)
,,,,,內,脂,皆,,隊,"2,18"
LH,tuəs,"tu`Cə, tu`sV`, tu`, tə`sV`, tə`","tu`Co2, tu`sV`, tu`, to2`sV`, to2`",,,,,,,(? 脂 LHC tśi と押韻せず)。uを主母音と見て日琉祖語展開。
WJ,(tu)ə(s),"tu`Cə, tu`sV`, tu`, tə`sV`, tə`","tu`Co2, tu`sV`, tu`, to2`sV`, to2`",M: 上古音由来の-u-は残す。C:去声かつMC-iより-s (本論文3.1節)[Pulleyblank1973]。,,,,,,(? 皆(平声)と押韻せず。)
馬,mǎ,2,上声,mˤraʔ,mraːʔ,ma,#ra,mä,mˠa,mraaʔ (先秦Z2013)
,,,,,魚,歌,歌,,馬,"2,9,10,25"
LH,m(ɣ)a(ʔ),ma,ma,M: (鄭張 2013) OC r > ɣ説 (本論文3.1節)。,,,,,,
WJ,(mɣ)a(ʔ),ma,ma,M: (鄭張 2013) OC r > ɣ説 (本論文3.1節)。,,,,,,(Zhengzhang2003はMC mˠaのように子音にˠを付ける流儀)。
一,yī,3,入声,ʔi[t],qliɡ,ʔit,#jiət,ʔiit,ʔiɪt̚,qliɡ (先秦Z2013)
,,,3,,質,質,質,,質,3
LH,ʔit,"i, it`V","i1, i1t`V",,,,,,,
WJ,(ʔ)jiət,"jə, jət`V","jo2, jo2t`V",,,,,,,
支,zhī,3,平声,ke,kje,kie > tśe,#jiei,tśe (kie?),t͡ɕiᴇ,kje (先秦Z2013)
,,,,,支,支,支,,支,"3,11,13,28"
LH,kie,"ki`, ke`","ki1`, ke1`",I: k-口蓋音化は晋以降と推定(本論文参照)。,,,,,,
WJ,(k)jiei,"ki`, ke`","ki1`, ke1`",I: k-口蓋音化は晋以降と推定(本論文参照)。,,,,,,
末,mò,,入声,mˤat,maːd,mɑt,#uat,mɑt,muɑt̚,maad (先秦Z2013)
,,,1,,月,月,曷,,末,4
LH,mɑt,"ma, matV`","ma, matV`",,,,,,,
WJ,(m)uat,"mua, muatV`, muCa, ma, matV`","mo1, mo1tV`, muCa, ma, matV`",,,,,,,
