ID,発音ID,国名,小學堂字號,上古音(後漢),中古音(魏晋),時期,日琉,上代,かな,省略パターン,採用,コメント
1,1,狗邪韓國,・ | 6757,k(ɑʔ) | ja,(kouʔ) | ()jia,後漢,ka | ja,ka | ja,かや,,1,
2,1,對馬國,,tuəs | m(ɣ)a(ʔ),(tu)ə(s) | (mɣ)a(ʔ),同等,tu | sV` | ma,tu | sV` | ma,つ{し1`}ま,,1,
3,1,一支國,,ʔit | kie,(ʔ)jiət | (k)jiei,後漢,i | ki,i1 | ki1,い1き1,,1,
4,1,末盧國,,mɑt | lɑ,(m)uat | (l)o,後漢,ma | tV` | ra,ma | tV` | ra,ま{つ`}ら,,1,
5,1,伊都國,,ʔi | (tɑ),(ʔ)jiəi | (t)o,後漢,i | to`,i1 | to1`,い1と1`,,1,
6,1,奴國,,nɑ,(no),後漢,na,na,な,,1,
7,1,不彌國,21497 | ・,(pət) | mie,(puət) | (m)jiei,同等,pə | tV` | mi,po2 | tV` | mi1,ほ2{な}み1,,1,
7,2,不彌國,13934 | ・,p(ə) | mie,(pou) | (m)jiei,魏晋,pu | mi,pu | mi1,ふみ1,,,
8,1,投馬國,,d(ɑ) | m(ɣ)a(ʔ),(d)ou | (mɣ)a(ʔ),魏晋,tu | ma,tu | ma,つま,つ{*}ま{*},1,PJR to > OJ tu よりtuのパターンのみ検索。
8,2,投馬國,,d(ɑ) | m(ɣ)a(ʔ),(d)ou | (mɣ)a(ʔ),後漢,ta | ma,ta | ma,たま,た{*}ま{*},,
9,1,邪馬臺國,6757 | ・ | ・ ,ja | m(ɣ)a(ʔ) | də,()jia | (mɣ)a(ʔ) | (d)əї,同等,ja | ma | tə`,ja | ma | to2`,やまと2`,,1,
9,2,邪馬臺國,6757 | ・ | ・ ,ja | m(ɣ)a(ʔ) | də,()jia | (mɣ)a(ʔ) | (d)əї,同等,ja | ma | tə`,ja | ma | to2`,やま{も2}と2`,,1,
10,1,斯馬國,,sie | m(ɣ)a(ʔ),(s)jiei | (mɣ)a(ʔ),同等,si | ma,si1 | ma,し1ま,,1,
11,1,已百支國,10493 | ・ | ・ ,jə(ʔ) | p(ɣ)ak | kie,()jəї(ʔ) | (pɣ)ak | (k)jiei,同等,ju | pa` | ki,ju | pa` | ki1,ゆは`き1,ゆ{*}は`{*}き1{*},1,
12,1,伊邪國,・ | 6757,ʔi | ja,(ʔ)jiəi | ()jia,後漢,i | ja,i1 | ja,い1や,,,
12,2,伊邪國,・ | 6757,ʔi | ja,(ʔ)jiəi | ()jia,魏晋,jəi | ja,i2 | ja,い2や,,,
12,3,伊邪國,・ | 6943,ʔi | (zia),(ʔ)jiəi | (z)jia,後漢,i | sia`,i1 | se1`,い1せ1`,,1,
12,4,伊邪國,・ | 6943,ʔi | (ziɑ),(ʔ)jiəi | (z)jia,魏晋,jəi | sia`,i2 | se1`,い2せ1`,,,
13,1,都支國,,(tɑ) | kie,(t)o | (k)jiei,同等,to | ki`,to1 | ki1`,と1き1`,,1,MVRルール(語末以外)例外
13,2,都支國,,(tɑ) | kie,(t)o | (k)jiei,同等,to | ke`,tu | ke1`,つけ1`,,,
13,3,都支國,,(tɑ) | kie,(t)o | (k)jiei,後漢,ta | ki`,ta | ki1`,たき1`,,,
14,1,彌奴國,,mie | nɑ,(m)jiei | (no),同等,mi | no,mi1 | no1,み1の1,,1,
15,1,好古都國,12966 | ・ | ・ ,(qʰɑ)u(ʔ) | kɑ(ʔ) | tɑ,(h)au(ʔ) | (k)o(ʔ) | (t)o,後漢,ku | ga | ta`,ku | ga | ta`,くがた`,く{*}が{*}た`{*},,
15,2,好古都國,12966 | ・ | ・ ,(qʰɑ)u(ʔ) | kɑ(ʔ) | tɑ,(h)au(ʔ) | (k)o(ʔ) | (t)o,後漢,kau | ga | ta`,ko1 | ga | ta`,こがた`,こ{*}が{*}た`{*},,
15,3,好古都國,12966 | ・ | ・ ,(qʰɑ)u(ʔ) | kɑ(ʔ) | tɑ,(h)au(ʔ) | (k)o(ʔ) | (t)o,後漢,ka | Cu | ga | ta`,ka | Cu | ga | ta`,か{Cu}がた`,か{Cu}がた`,1,発音-単漢字タブ「好」参照、好と古は清濁かき分けと解釈、省略部分au>o1の可能性あり。
16,1,不呼國,21497 | ・,(pət) | (qʰ)ɑ,(puət) | (h)o,後漢,pə | tV` | ka,po2 | tV` | ka,ほ2{tV`}か,ほ2{tV`}か,1,
17,1,姐奴國,,(ʔsiaʔ) | nɑ,(ʔsjaʔ) | (no),同等,si | Ca | no,si1 | Ca | no1,し1{Ca}の1,し1{Ca}の1,1,
17,2,姐奴國,,(ʔsiaʔ) | nɑ,(ʔsjaʔ) | (no),同等,sa | no,sa | no1,さの1,,,
17,3,姐奴國,,(ʔsiaʔ) | nɑ,(ʔsjaʔ) | (no),同等,sia | no,se1 | no1,せ1の1,,,
18,1,對蘇國,,tuəs | sɑ,(tu)ə(s) | (s)o,後漢,tə | su,to2 | su,と2す,,1,"梵語音訳では後漢魚部はa,o,uにあてられている(MVRではない)。"
18,2,對蘇國,,tuəs | sɑ,(tu)ə(s) | (s)o,同等,tə | so,to2 | so1,と2そ1,,,
19,1,蘇奴國,,sɑ | nɑ,(s)o | (no),後漢,sa | na,sa | na,さな,,1,
20,1,呼邑國,,(qʰ)ɑ | ʔ(ɣɨə)p,(h)o | (ʔɣ)jəp,後漢,ka | gə | pV`,ka | go2 | pV`,かご2{pV`},かご2{pV`},1,
21,1,華奴蘇奴國,6789 | ・,ɣua | nɑ,(ɦɣu)a | (no),後漢,ga | na,ga | na,がな,,1,
22,1,鬼國,,kui(ʔ),(kuəiʔ),同等,kəi,ki2,き2,,1,
23,1,爲吾國,833 | 2776,(ɢue) | ŋɑ,(ɦu)ei | (ŋ)o,後漢,we | ga,wi1 | ga,ゐ1が,,,"PJR we, eの可能性。吾2776の方が一般的なので後漢の可能性がやや高いか。6913なら両方。"
23,2,爲吾國,833 | 2776,(ɢue) | ŋɑ,(ɦu)ei | (ŋ)o,後漢,e | ga,i1 | ga,い1が,,,
23,3,爲吾國,833 | 6913,(ɢue) | (ŋɣa),(ɦu)ei | (ŋɣa),魏晋,we | ga,wi1 | ga,ゐ1が,,,
23,4,爲吾國,833 | 6913,(ɢue) | (ŋɣa),(ɦu)ei | (ŋɣa),魏晋,e | ga,i1 | ga,い1が,,1,
24,1,鬼奴國,,kui(ʔ) | nɑ,(kuəiʔ) | (no),魏晋,kəi | no,ki2 | no1,き2の1,,,
24,2,鬼奴國,,kui(ʔ) | nɑ,(kuəiʔ) | (no),魏晋,kəi | no,ke2 | no1,け2の1,,1,
25,1,邪馬國,6757 | ・,ja | m(ɣ)a(ʔ),()jia | (mɣ)a(ʔ),同等,ja | ma,ja | ma,やま,,1,
26,1,躬臣國,,kuŋ | gin,(ku)oŋ | (d͡ʑ)jiən,魏晋,ko | zi,ku | zi1,くじ1,,1,魏晋は口蓋化音でぢに近いのでは?
27,1,巴利國,,p(ɣ)a | lis,(pɣ)a | (l)jiə(s),魏晋,pa | ri | Cə,pa | ri1 | Co2,はり1{Co2},はり1{Co2},1,
28,1,支惟國,,kie | ɢui,(k)jiei | ()ji(u)əi,魏晋,ki | wəi,ki1 | wi2,き1ゐ2,,1,
29,1,烏奴國,,ʔɑ | nɑ,(ʔ)o | (no),後漢,a | na,a | na,あな,,1,
29,2,烏奴國,,ʔɑ | nɑ,(ʔ)o | (no),魏晋,o | no,u | no1,うの1,,,
29,3,烏奴國,,ʔɑ | nɑ,(ʔ)o | (no),魏晋,o | no,o | no1,お1の1,,,
30,1,奴國[2回目],,nɑ,(no),後漢,na,na,な,な{*},1,
