記号,意味,参考
"LH, LHC","Later Han Chinese, 上古音(後漢)",
"WJ, WJC","Wei-Jin Chinese, 中古音(魏晋)",
MC,"Middle Chinese, 中古音(隋唐)",
OC,"Old Chinese, 上古音(先秦)",
ONW,"Old Northwest Chinese,中古音(ONW),  5世紀初頭の西北方言",
OJ,"Old Japanese, 上古日本語",
PJR,"Proto Japanese Ryukyuan language, 日琉祖語",
X (発音記号),[国際音声記号 - Wikipedia]などを参照のこと。,
X`,「`」音節Xは清音・濁音の区別が不明。,
Z(X)Y,筆者が推定により音Xを補完・Xに修正した。,
X{Y},音節Xの後に音節Yが省略されている。,
X{C},音節Xの後に子音Cをもつ音節が省略されている。,
X{V},音節Xの後に母音Vをもつ音節が省略されている。,
X | Y,音節境界,
X1,上代特殊仮名遣い甲種,
X2,上代特殊仮名遣い乙種,
#X,音節頭子音が辞書に未掲載・不明,
#,辞書に未掲載・不明,
