KEY,latitude,longitude,status_code,出土状況,古墳特定,集成編年,時期,コメント,文献
京都・長岡近郊,,,13,伝,0,-,不明,,
兵庫・播磨,,,13,伝,0,-,不明,,
大分・宇佐付近,,,13,伝,0,-,不明,,
奈良・北和城南,34.866723,135.783831,13,伝,1,-,不明,本県と京都、大阪両府の8古墳の盗掘品「北和城南古墳」という架空の古墳の名称で保管されていた[1]。城南市西山6号墳の可能性高い[2]。３号墳と６号墳（ともに円墳）は調査が及ぶ前に破壊[3]。  ,[1] https://www.nara-np.co.jp/news/20170623091045.html 。[2]北和城南古墳出土品調査報告書 (奈良国立博物館 2017)  https://narahaku.repo.nii.ac.jp/index.php?action=pages_view_main&active_action=repository_view_main_item_snippet&index_id=326&pn=1&count=20&order=7&lang=japanese&page_id=13&block_id=21 。[3]  http://hmuseum.doshisha.ac.jp/html/research/report/report2017_16/2017nishiyama.pdf
奈良・都介野,,,13,伝,0,-,不明,都介野岳? 三陵墓古墳? 、前期の古墳が発見されておらず中期になりますと、前方後円墳(都祁三陵墓東古墳)[1],[1]奈良市埋蔵文化財調査センター 2005 『平城京展図録23：発掘調査からみた奈良市東部の考古学』奈良市教育委員会 https://sitereports.nabunken.go.jp/1454 。
岐阜・可児町土田,,,13,伝,0,-,不明,古墳?,
岡山・岡山県内,,,13,伝,0,-,不明,,
熊本・八代郡,,,13,伝,0,-,不明,,
福井・足羽山山頂付近,,,13,伝,0,-,不明,,
群馬・三本木,36.206288,139.054943,13,伝,0,-,不明,神田三本木古墳群 ?  三本木地区（伝三本木古墳）からは三角縁神獣鏡、神田地区からは内行花文鏡の出土が伝えられるが、前期古墳の存在は明らかでない[1]。 https://sitereports.nabunken.go.jp/files/attach/38/38905/86511_1_%E7%BE%A4%E9%A6%AC%E7%9C%8C%E8%97%A4%E5%B2%A1%E5%B8%82%E4%B8%83%E8%BC%BF%E5%B1%B1%E5%8F%A4%E5%A2%B3%E3%81%AE%E6%B8%AC%E9%87%8F%E3%83%BBGPR%E8%AA%BF%E6%9F%BB.pdf ,[1] https://sitereports.nabunken.go.jp/files/attach/38/38905/86511_1_%E7%BE%A4%E9%A6%AC%E7%9C%8C%E8%97%A4%E5%B2%A1%E5%B8%82%E4%B8%83%E8%BC%BF%E5%B1%B1%E5%8F%A4%E5%A2%B3%E3%81%AE%E6%B8%AC%E9%87%8F%E3%83%BBGPR%E8%AA%BF%E6%9F%BB.pdf 
鳥取・倉吉市旧社邑付近,,,13,伝,0,-,不明,,
宮崎・持田古墳群,32.150065,131.519314,13,推定,0,-,不明,古墳時代前期段階の４世紀前半から古墳時代終末期段階の７世紀前半頃まで(ただし48号を4世紀前半としており集成編年と矛盾)[1]。http://www.miyazaki-archive.jp/d-museum/mk-heritage/burialmounds/summary_mochida.html,[1] http://www.miyazaki-archive.jp/d-museum/mk-heritage/burialmounds/summary_mochida.html
徳島・板野町吹田,34.15424651,134.4629073,13,推定,0,-,不明,鳴門・板野古墳群に至っては，出土状況不明の板野町吹田出土鏡のみという状況である[1]。    弥生時代終末期から古墳時代前期（３世紀初頭～４世紀末）[2]。  ,"[1]植地岳彦(2022)「「古鏡帳」の三角縁神獣鏡図について」徳島県立博物館研究報告 Bull. Tokushima Pref. Mus. No. 32: 75–82, 2022  https://museum.bunmori.tokushima.jp/kiyo.html 。[2]文化財｜渦の国 鳴門｜https://www.city.naruto.tokushima.jp/promotion/bunkazai/itano_kofungun.html"
宮崎・持田48号,32.150065,131.519314,12,推定,1,5,古墳中期,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
奈良・富雄丸山1号,34.666486,135.752133,12,伝,1,-,古墳前期後半,築造時期は古墳時代前期後半の4世紀後半頃と推定される[1]。 ４世紀後半（古墳時代前期後半）と推定[2]。,[1] https://ja.wikipedia.org/wiki/%E5%AF%8C%E9%9B%84%E4%B8%B8%E5%B1%B1%E5%8F%A4%E5%A2%B3 。  [2]奈良市教育委員会「富雄丸山古墳の墳丘測量調査成果について」 https://www.city.nara.lg.jp/uploaded/attachment/16753.pdf
岡山・香登,34.723879,134.120409,12,伝,1,-,古墳前期後半,丸山古墳? 岡山県備前市畠田福田香登本 古墳時代前期（4世紀後半）[1]  https://okayama-labo.net/maruyamakofun/  鶴山丸山古墳/丸山古墳 歴博報56、古墳中期-古墳（円墳、竪穴式石室+家形石棺）[2],[1]丸山古墳「丘陵頂部に築造された岡山県内最大の円墳」 | OKA-LABO（おかラボ）｜岡山（岡山近県）観光サイト https://okayama-labo.net/maruyamakofun/  。[2]歴博報56。
大阪・国分茶臼山,34.569667,135.643417,11,伝,1,-,古墳前期,市場茶臼山古墳 大阪府柏原市国分市場1丁目  古墳（円墳）。 歴博報56、古墳前期-古墳[1]。同じものらしい[2]。,[1]歴博報56  http://www.isekiwalker.com/iseki/111212/ 。[2]向井山茶臼塚古墳 | 大阪府柏原市 http://www.city.kashiwara.osaka.jp/docs/2016081600037/?doc_id=5205 。
愛知・百々,35.105583,137.192667,11,伝,1,-,古墳前期,どうどこふん。歴博報56、古墳前期-古墳（円墳）[1]。,[1]歴博報56。
