ID,発音ID,国名,小學堂字號,上古音(後漢),中古音(魏晋),時期,日琉,上代,かな,省略パターン,コメント
1,1,狗邪韓國,・ | 6757,k(ɑ) | ja,(kou) | ()jia,後漢,ka | ja,ka | ja,かや,,
2,1,對馬國,,tu(i)s | ma,(tu)ə(s) | (m)a,後漢,tu{s`} | ma,tu{s`} | ma,つ{し1`}ま,,
3,1,一支國,,ʔit | kie,(ʔ)jiət | (k)jiei,後漢,i | ki,i1 | ki1,い1き1,,
4,1,末盧國,,mɑt | lɑ,(m)uat | (l)o,後漢,ma{t`} | ra,ma{t`} | ra,ま{つ`}ら,,
5,1,伊都國,,ʔi | (tɑ),(ʔ)jiəi | (t)o,魏晋,jəi | to`,i2 | to1`,い2と1`,,
6,1,奴國,,nɑ,(no),後漢,na,na,な,,
7,1,不彌國,21497 | ・,(pɨət) | mie,(pjət) | (m)jiei,後漢,pə{t`} | mi,po2{t`} | mi1,ほ2{な}み1,,
7,2,不彌國,13934 | ・,(pɨə) | mie,(pjou) | (m)jiei,魏晋,pu | mi,pu | mi1,ふみ1,,
8,1,投馬國,,d(ɑ) | ma,(d)ou | (m)a,魏晋,tu | ma,tu | ma,つま,つ{*}ま{*},PJR to > OJ tu よりtuのパターンのみ検索。
8,2,投馬國,,d(ɑ) | ma,(d)ou | (m)a,後漢,ta | ma,ta | ma,たま,た{*}ま{*},陸奥国玉造郡、肥後国玉名郡(玉杵名 <紀>)、武蔵国多摩郡(海なし)、肥後国託麻郡(海なし)、但馬国、
9,1,邪馬臺國,6757 | ・ | ・ ,ja | ma | (d)ə,()jia | (m)a | (d)əї,同等,ja | ma | tə`,ja | ma | to2`,やまと2`,,
9,2,邪馬臺國,6757 | ・ | ・ ,ja | ma | (d)ə,()jia | (m)a | (d)əї,同等,ja | ma | tə`,ja | ma | to2`,やま{も2}と2`,,
10,1,斯馬國,,sie | ma,(s)jiei | (m)a,同等,si | ma,si1 | ma,し1ま,,
11,1,已百支國,10493 | ・ | ・ ,jə | pak | kie,()jəї | (p)ak | (k)jiei,魏晋,ju | pa` | ki,ju | pa` | ki1,ゆは`き1,ゆ{*}は`{*}き1{*},
12,1,伊邪國,・ | 6757,ʔi | ja,(ʔ)jiəi | ()jia,後漢,i | ja,i1 | ja,い1や,,
12,2,伊邪國,・ | 6757,ʔi | ja,(ʔ)jiəi | ()jia,魏晋,jəi | ja,i2 | ja,い2や,,
12,3,伊邪國,・ | 6943,ʔi | (zia),(ʔ)jiəi | (z)jia,後漢,i | sia`,i1 | se1`,い1せ1`,,
12,4,伊邪國,・ | 6943,ʔi | (ziɑ),(ʔ)jiəi | (z)jia,魏晋,jəi | sia`,i2 | se1`,い2せ1`,,
13,1,都支國,,(tɑ) | kie,(t)o | (k)jiei,魏晋,to | ki`,to1 | ki1`,と1き1`,,MVRルール(語末以外)例外
13,2,都支國,,(tɑ) | kie,(t)o | (k)jiei,魏晋,to | ke`,tu | ke1`,つけ1`,,
13,3,都支國,,(tɑ) | kie,(t)o | (k)jiei,後漢,ta | ki`,ta | ki1`,たき1`,,
14,1,彌奴國,,mie | nɑ,(m)jiei | (no),魏晋,mi | no,mi1 | no1,み1の1,,
15,1,好古都國,12966 | ・ | ・ ,(qʰɑ)u | kɑ | (tɑ),(qʰ)au | (k)o | (t)o,後漢,ku | ga | ta`,ku | ga | ta`,くがた`,く{*}が{*}た`{*},
15,2,好古都國,12966 | ・ | ・ ,(qʰɑ)u | kɑ | (tɑ),(qʰ)au | (k)o | (t)o,後漢,kau | ga | ta`,ko1 | ga | ta`,こがた`,こ{*}が{*}た`{*},
15,3,好古都國,12966 | ・ | ・ ,(qʰɑ)u | kɑ | (tɑ),(qʰ)au | (k)o | (t)o,後漢,ka{u} | ga | ta`,ka{u} | ga | ta`,か{u}がた`,"か{*u,*o1}が{*}た`{*}",発音-単漢字タブ「好」参照、好と古は清濁かき分けと解釈、省略部分au>o1の可能性あり。
16,1,不呼國,21497 | ・,(pɨət) | (qʰ)ɑ,(pjət) | (qʰ)o,後漢,pə{t`} | ka,po2{t`} | ka,ほ2{t}か,ほ2{t*}か,
17,1,姐奴國,,(ʔsia) | nɑ,(ʔsja) | (no),魏晋,si{a} | no,si1{a} | no1,し1{a}の1,し1{*a}の1,
17,2,姐奴國,,(ʔsia) | nɑ,(ʔsja) | (no),魏晋,sa | no,sa | no1,さの1,,
17,3,姐奴國,,(ʔsia) | nɑ,(ʔsja) | (no),魏晋,sia | no,se1 | no1,せ1の1,,
18,1,對蘇國,,tu(i)s | sɑ,(tu)ə(s) | (s)o,魏晋,tə | so,to2 | so1,と2そ1,,MVRルール(語末以外)例外
19,1,蘇奴國,,sɑ | nɑ,(s)o | (no),後漢,sa | na,sa | na,さな,,
20,1,呼邑國,,(qʰ)ɑ | ʔ(ɣɨə)p,(qʰ)o | (ʔˠ)jəp,後漢,ka | gə{p`},ka | go2{p`},かご2{p`},かご2{p*`},
21,1,華奴蘇奴國,6789 | ・,ɣua | nɑ,(ɣw)a | (no),後漢,ga | na,ga | na,がな,,
22,1,鬼國,,kui,(kjuəi),魏晋,kəi,ki2,き2,,
23,1,爲吾國,833 | 2776,w(ie) | ŋɑ,()j(w)ei | (ŋ)o,後漢,ui | ga,i2 | ga,い2が,,"PJR ui, wi, wuiの可能性。吾2776の方が一般的なので後漢の可能性がやや高いか。6913なら両方。"
23,2,爲吾國,833 | 2776,w(ie) | ŋɑ,()j(w)ei | (ŋ)o,後漢,wi | ga,wi1 | ga,ゐ1が,,
23,3,爲吾國,833 | 6913,w(ie) | ŋɑ,()j(w)ei | (ŋa),同等,ui | ga,i2 | ga,い2が,,
23,4,爲吾國,833 | 6913,w(ie) | ŋɑ,()j(w)ei | (ŋa),魏晋,ji | ga,i1 | ga,い1が,,
24,1,鬼奴國,,kui | nɑ,(kjuəi) | (no),魏晋,kəi | no,ki2 | no1,き2の1,,
24,2,鬼奴國,,kui | nɑ,(kjuəi) | (no),魏晋,kəi | no,ke2 | no1,け2の1,,
25,1,邪馬國,6757 | ・,ja | ma,()jia | (m)a,同等,ja | ma,ja | ma,やま,,
26,1,躬臣國,,kuŋ | gin,(k)jong | (d͡ʑ)jiən,魏晋,ko | zi,ku | zi1,くじ1,,魏晋は口蓋化音でぢに近いのでは?
27,1,巴利國,,pa | lis,(p)a | (l)jiə(s),魏晋,pa | ri{ə},pa | ri1{o2},はり1{o2},はり1{*o2},
28,1,支惟國,,kie | wi,(k)jiei | ()ji(w)əi,魏晋,ki | wəi,ki1 | wi2,き1 | ゐ2,,
29,1,烏奴國,,ʔɑ | nɑ,(ʔ)o | (no),後漢,a | na,a | na,あな,,
29,2,烏奴國,,ʔɑ | nɑ,(ʔ)o | (no),魏晋,o | no,u | no1,うの1,,
30,1,奴國[2回目],,nɑ,(no),後漢,na,na,な,な{*},
31,1,狗奴國,,(kɑ) | nɑ,(kou) | (no),魏晋,ku | no,ku | no1,くの1,く{*}の1,
